#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
         613     1.81305     1.80395 0.000152159
         614     1.81311     1.80396 0.000152641
         615     1.81316     1.80398 0.000153123
         616     1.81321     1.80399 0.000153607
         617     1.81327     1.80401 0.000154091
         618     1.81332     1.80402 0.000154577
         619     1.81338     1.80404 0.000155064
         620     1.81343     1.80405 0.000155552
         621     1.81349     1.80407 0.000156041
         622     1.81354     1.80408 0.000156531
         623     1.81359      1.8041 0.000157022
         624     1.81365     1.80412 0.000157515
         625     1.81371     1.80413 0.000158008
         626     1.81376     1.80415 0.000158503
         627     1.81382     1.80416 0.000158999
         628     1.81387     1.80418 0.000159496
         629     1.81393     1.80419 0.000159994
         630     1.81398     1.80421 0.000160494
         631     1.81404     1.80422 0.000160994
         632      1.8141     1.80424 0.000161496
         633     1.81415     1.80425 0.000161998
         634     1.81421     1.80427 0.000162502
         635     1.81427     1.80429 0.000163008
         636     1.81433      1.8043 0.000163514
         637     1.81438     1.80432 0.000164021
         638     1.81444     1.80433  0.00016453
         639      1.8145     1.80435  0.00016504
         640     1.81456     1.80437 0.000165551
         641     1.81462     1.80438 0.000166063
         642     1.81467      1.8044 0.000166576
         643     1.81473     1.80441 0.000167091
         644     1.81479     1.80443 0.000167606
         645     1.81485     1.80445 0.000168123
         646     1.81491     1.80446 0.000168641
         647     1.81497     1.80448 0.000169161
         648     1.81503     1.80449 0.000169681
         649     1.81509     1.80451 0.000170203
         650     1.81515     1.80453 0.000170726
         651     1.81521     1.80454  0.00017125
         652     1.81527     1.80456 0.000171775
         653     1.81533     1.80458 0.000172302
         654     1.81539     1.80459  0.00017283
         655     1.81545     1.80461 0.000173359
         656     1.81551     1.80463 0.000173889
         657     1.81557     1.80464 0.000174421
         658     1.81563     1.80466 0.000174953
         659     1.81569     1.80468 0.000175487
         660     1.81576     1.80469 0.000176022
         661     1.81582     1.80471 0.000176559
         662     1.81588     1.80473 0.000177097
         663     1.81594     1.80474 0.000177636
         664       1.816     1.80476 0.000178176
         665     1.81607     1.80478 0.000178717
         666     1.81613     1.80479  0.00017926
         667     1.81619     1.80481 0.000179804
         668     1.81626     1.80483 0.000180349
         669     1.81632     1.80485 0.000180896
         670     1.81638     1.80486 0.000181443
         671     1.81645     1.80488 0.000181993
         672     1.81651      1.8049 0.000182543
         673     1.81658     1.80492 0.000183095
         674     1.81664     1.80493 0.000183647
         675     1.81671     1.80495 0.000184202
         676     1.81677     1.80497 0.000184757
         677     1.81684     1.80499 0.000185314
         678      1.8169       1.805 0.000185872
         679     1.81697     1.80502 0.000186432
