#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
         550    0.541593    0.602308  0.00879067
         551    0.542173    0.602199   0.0087754
         552    0.542784    0.602091  0.00876016
         553    0.543426    0.601985  0.00874496
         554    0.544097    0.601881   0.0087298
         555    0.544796    0.601778  0.00871467
         556    0.545524    0.601677  0.00869959
         557    0.546277    0.601577  0.00868454
         558    0.547056    0.601479  0.00866952
         559    0.547857    0.601384  0.00865455
         560     0.54868    0.601289   0.0086396
         561    0.549524    0.601197   0.0086247
         562    0.550387    0.601107  0.00860982
         563    0.551267    0.601018  0.00859499
         564    0.552164    0.600932  0.00858018
         565    0.553075    0.600847  0.00856541
         566       0.554    0.600764  0.00855068
         567    0.554939    0.600683  0.00853598
         568    0.555889    0.600604  0.00852132
         569     0.55685    0.600528  0.00850669
         570    0.557821    0.600453   0.0084921
         571      0.5588     0.60038  0.00847754
         572    0.559786    0.600309  0.00846301
         573    0.560778     0.60024  0.00844852
         574    0.561774    0.600173  0.00843407
         575    0.562773    0.600108  0.00841965
         576    0.563774    0.600045  0.00840527
         577    0.564777    0.599983  0.00839093
         578    0.565779    0.599924  0.00837662
         579    0.566781    0.599867  0.00836235
         580    0.567781    0.599812  0.00834811
         581    0.568779    0.599758  0.00833391
         582    0.569774    0.599707  0.00831975
         583    0.570766    0.599657  0.00830563
         584    0.571755    0.599609  0.00829155
         585    0.572738    0.599563   0.0082775
         586    0.573717    0.599519  0.00826349
         587    0.574689    0.599477  0.00824952
         588    0.575655    0.599437  0.00823559
         589    0.576615    0.599398   0.0082217
         590    0.577567    0.599361  0.00820785
         591    0.578513    0.599325  0.00819404
         592     0.57945    0.599292  0.00818027
         593    0.580378     0.59926  0.00816653
         594    0.581298     0.59923  0.00815284
         595     0.58221    0.599201  0.00813919
         596    0.583113    0.599174  0.00812558
         597    0.584008    0.599149  0.00811201
         598    0.584894    0.599125  0.00809848
         599    0.585771    0.599103  0.00808499
         600    0.586639    0.599082  0.00807154
         601    0.587497    0.599063  0.00805813
         602    0.588347    0.599045  0.00804477
         603    0.589189    0.599028  0.00803144
         604    0.590022    0.599014  0.00801816
         605    0.590847       0.599  0.00800492
         606    0.591663    0.598988  0.00799172
         607    0.592472    0.598977  0.00797856
         608    0.593273    0.598968  0.00796544
         609    0.594067     0.59896  0.00795236
         610    0.594854    0.598953  0.00793933
         611    0.595634    0.598948  0.00792634
         612    0.596408    0.598943  0.00791339
         613    0.597176    0.598941  0.00790048
         614    0.597938    0.598939  0.00788761
         615    0.598695    0.598939  0.00787479
         616    0.599447    0.598939    0.007862
         617    0.600195    0.598941  0.00784926
         618    0.600938    0.598945  0.00783656
         619    0.601678    0.598949   0.0078239
         620    0.602414    0.598955  0.00781128
         621    0.603146    0.598961  0.00779871
         622    0.603876    0.598969  0.00778617
         623    0.604604    0.598978  0.00777368
         624    0.605331    0.598989  0.00776123
         625    0.606056       0.599  0.00774882
         626    0.606781    0.599012  0.00773645
         627    0.607505    0.599026  0.00772413
         628    0.608229     0.59904  0.00771184
         629    0.608955    0.599056   0.0076996
         630    0.609683    0.599073  0.00768739
         631    0.610412    0.599091  0.00767523
         632    0.611144     0.59911  0.00766311
         633    0.611878     0.59913  0.00765103
         634    0.612615    0.599152  0.00763899
         635    0.613355    0.599174    0.007627
         636    0.614097    0.599197  0.00761504
         637    0.614844    0.599222  0.00760312
         638    0.615595    0.599248  0.00759125
         639    0.616351    0.599274  0.00757942
         640    0.617112    0.599302  0.00756763
         641    0.617878    0.599331  0.00755588
         642    0.618649    0.599361  0.00754417
         643    0.619425    0.599393   0.0075325
         644    0.620206    0.599425  0.00752087
         645    0.620992    0.599458  0.00750929
         646    0.621784    0.599493  0.00749774
         647    0.622582    0.599529  0.00748624
         648    0.623385    0.599565  0.00747477
         649    0.624194    0.599603  0.00746335
         650    0.625009    0.599642  0.00745197
         651     0.62583    0.599683  0.00744064
         652    0.626657    0.599724  0.00742934
         653    0.627489    0.599767  0.00741808
         654    0.628329     0.59981  0.00740687
         655    0.629174    0.599855   0.0073957
         656    0.630025    0.599901  0.00738457
         657     0.63088    0.599948  0.00737348
         658     0.63174    0.599996  0.00736243
         659    0.632605    0.600046  0.00735142
         660    0.633475    0.600097  0.00734046
         661    0.634349    0.600148  0.00732954
         662    0.635227    0.600201  0.00731866
         663     0.63611    0.600256  0.00730782
         664    0.636995    0.600311  0.00729702
         665    0.637883    0.600367  0.00728627
         666    0.638774    0.600425  0.00727556
         667    0.639667    0.600484  0.00726489
         668    0.640561    0.600544  0.00725426
         669    0.641456    0.600605  0.00724367
         670    0.642352    0.600667  0.00723313
         671    0.643248    0.600731  0.00722263
         672    0.644143    0.600795  0.00721217
         673    0.645038    0.600861  0.00720175
         674    0.645932    0.600928  0.00719138
         675    0.646823    0.600996  0.00718104
         676    0.647711    0.601065  0.00717075
         677    0.648595    0.601135  0.00716051
         678    0.649474    0.601207   0.0071503
         679    0.650347    0.601279  0.00714013
         680    0.651214    0.601352  0.00713001
         681    0.652076    0.601427  0.00711993
         682    0.652933    0.601502  0.00710989
         683    0.653782    0.601579  0.00709989
         684    0.654622    0.601657  0.00708994
         685    0.655452    0.601735  0.00708002
         686    0.656273    0.601815  0.00707015
         687    0.657083    0.601895  0.00706031
         688    0.657882    0.601976  0.00705052
         689     0.65867    0.602059  0.00704077
         690    0.659446    0.602142  0.00703106
         691    0.660208    0.602226  0.00702138
         692    0.660958    0.602311  0.00701175
         693    0.661693    0.602396  0.00700215
         694    0.662414    0.602483   0.0069926
         695    0.663118     0.60257  0.00698308
         696    0.663806    0.602658   0.0069736
         697    0.664477    0.602747  0.00696416
         698     0.66513    0.602836  0.00695476
         699    0.665766    0.602926  0.00694539
         700    0.666382    0.603017  0.00693606
         701     0.66698    0.603108  0.00692677
         702    0.667557      0.6032  0.00691751
         703    0.668115    0.603292  0.00690828
         704    0.668652    0.603385  0.00689909
         705    0.669166    0.603478  0.00688994
         706    0.669659    0.603572  0.00688082
         707     0.67013    0.603666  0.00687173
         708    0.670578    0.603761  0.00686267
         709    0.671005    0.603856  0.00685365
         710    0.671409    0.603951  0.00684466
         711    0.671789    0.604046   0.0068357
         712    0.672145    0.604142  0.00682676
         713    0.672478    0.604238  0.00681786
         714    0.672787    0.604334  0.00680899
         715    0.673071     0.60443  0.00680014
         716    0.673331    0.604526  0.00679133
         717    0.673565    0.604622  0.00678254
         718    0.673776    0.604719  0.00677378
         719    0.673962    0.604815  0.00676504
         720    0.674123    0.604911  0.00675633
         721     0.67426    0.605007  0.00674764
         722    0.674371    0.605104  0.00673898
         723    0.674458    0.605199  0.00673034
         724    0.674523    0.605295  0.00672173
         725    0.674564    0.605391  0.00671313
         726    0.674582    0.605486  0.00670456
         727    0.674577    0.605581  0.00669602
         728    0.674548    0.605676  0.00668749
         729    0.674494     0.60577  0.00667898
