#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
         631    0.924261     1.00968   0.0115115
         632    0.924152     1.00955   0.0114941
         633    0.924019     1.00941   0.0114767
         634    0.923865     1.00928   0.0114594
         635    0.923688     1.00914   0.0114421
         636    0.923488     1.00901   0.0114249
         637    0.923266     1.00887   0.0114078
         638    0.923022     1.00874   0.0113907
         639    0.922756      1.0086   0.0113737
         640    0.922468     1.00847   0.0113567
         641    0.922159     1.00834   0.0113398
         642    0.921828      1.0082   0.0113229
         643    0.921476     1.00807   0.0113061
         644    0.921104     1.00793   0.0112894
         645     0.92071      1.0078   0.0112727
         646    0.920297     1.00766    0.011256
         647    0.919863     1.00752   0.0112394
         648     0.91941     1.00739   0.0112229
         649    0.918938     1.00725   0.0112065
         650    0.918446     1.00712     0.01119
         651    0.917936     1.00698   0.0111737
         652    0.917406     1.00684   0.0111574
         653    0.916857      1.0067   0.0111412
         654     0.91629     1.00656    0.011125
         655    0.915705     1.00643   0.0111089
         656    0.915102     1.00629   0.0110928
         657    0.914481     1.00615   0.0110768
         658    0.913843     1.00601   0.0110609
         659    0.913188     1.00587    0.011045
         660    0.912516     1.00572   0.0110291
         661    0.911827     1.00558   0.0110134
         662    0.911122     1.00544   0.0109977
         663      0.9104      1.0053    0.010982
         664    0.909662     1.00515   0.0109664
         665    0.908909     1.00501   0.0109509
         666    0.908139     1.00486   0.0109354
         667    0.907355     1.00472     0.01092
         668    0.906556     1.00457   0.0109046
         669    0.905742     1.00442   0.0108893
         670    0.904913     1.00427   0.0108741
         671    0.904072     1.00412   0.0108589
         672    0.903217     1.00397   0.0108438
         673    0.902348     1.00382   0.0108287
         674    0.901466     1.00367   0.0108137
         675    0.900571     1.00352   0.0107988
         676    0.899662     1.00336   0.0107839
         677    0.898741     1.00321   0.0107691
         678    0.897809     1.00305   0.0107543
         679    0.896864      1.0029   0.0107396
         680    0.895907     1.00274    0.010725
         681    0.894939     1.00258   0.0107104
         682    0.893959     1.00242   0.0106959
         683    0.892968     1.00226   0.0106814
         684    0.891967      1.0021    0.010667
         685    0.890956     1.00194   0.0106527
         686    0.889934     1.00178   0.0106384
         687    0.888904     1.00161   0.0106242
         688    0.887863     1.00145     0.01061
         689    0.886814     1.00128   0.0105959
         690    0.885756     1.00111   0.0105819
         691    0.884691     1.00094   0.0105679
         692    0.883617     1.00077    0.010554
         693    0.882535      1.0006   0.0105402
         694    0.881446     1.00043   0.0105264
         695    0.880351     1.00026   0.0105126
         696    0.879249     1.00009    0.010499
         697    0.878141    0.999911   0.0104854
         698    0.877028    0.999734   0.0104718
         699    0.875908    0.999557   0.0104583
         700    0.874784    0.999379   0.0104449
         701    0.873655      0.9992   0.0104316
         702    0.872521    0.999019   0.0104183
         703    0.871383    0.998838    0.010405
         704    0.870242    0.998655   0.0103918
         705    0.869097    0.998471   0.0103787
         706     0.86795    0.998286   0.0103657
         707      0.8668      0.9981   0.0103527
         708    0.865649    0.997913   0.0103398
         709    0.864497    0.997725   0.0103269
         710    0.863344    0.997536   0.0103141
         711     0.86219    0.997346   0.0103013
         712    0.861037    0.997154   0.0102886
         713    0.859884    0.996962    0.010276
         714    0.858731    0.996768   0.0102634
         715    0.857581    0.996573   0.0102509
         716    0.856432    0.996378   0.0102385
         717    0.855285    0.996181   0.0102261
         718    0.854141    0.995983   0.0102138
         719    0.853001    0.995784   0.0102015
         720    0.851864    0.995584   0.0101893
         721    0.850732    0.995383   0.0101771
         722    0.849604    0.995181    0.010165
