#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
         375    -7.24852     -7.1799   0.0135324
         376    -7.24969    -7.18009   0.0134977
         377     -7.2505    -7.18027   0.0134632
         378    -7.25129    -7.18046   0.0134288
         379    -7.25205    -7.18065   0.0133947
         380    -7.25279    -7.18084   0.0133608
         381    -7.25414    -7.18103   0.0133272
         382    -7.25513    -7.18123   0.0132937
         383    -7.25642    -7.18142   0.0132604
         384    -7.25768    -7.18162   0.0132274
         385    -7.25858    -7.18182   0.0131945
         386     -7.2601    -7.18203   0.0131619
         387    -7.26126    -7.18223   0.0131295
         388    -7.26175    -7.18243   0.0130972
         389    -7.26219    -7.18264   0.0130652
         390    -7.26228    -7.18284   0.0130333
         391    -7.26266    -7.18305   0.0130015
         392    -7.26301    -7.18325     0.01297
         393    -7.26429    -7.18346   0.0129386
         394    -7.26554    -7.18367   0.0129075
         395    -7.26643    -7.18388   0.0128765
         396    -7.26728    -7.18409   0.0128457
         397    -7.26809     -7.1843   0.0128151
         398    -7.26822    -7.18451   0.0127846
         399    -7.26864    -7.18472   0.0127543
         400    -7.26902    -7.18493   0.0127242
         401    -7.26904    -7.18514   0.0126942
         402    -7.26967    -7.18535   0.0126643
         403    -7.27058    -7.18556   0.0126347
         404    -7.27081    -7.18577   0.0126051
         405    -7.27132    -7.18598   0.0125758
         406    -7.27082    -7.18619   0.0125466
         407    -7.27093     -7.1864   0.0125175
         408      -7.271    -7.18661   0.0124885
         409    -7.27103    -7.18682   0.0124597
         410     -7.2707    -7.18702    0.012431
         411    -7.27098    -7.18722   0.0124024
         412    -7.27024    -7.18743   0.0123739
         413    -7.27011    -7.18763   0.0123456
         414    -7.26994    -7.18783   0.0123174
         415    -7.27038    -7.18802   0.0122893
         416    -7.27013    -7.18822   0.0122613
         417    -7.26951    -7.18842   0.0122335
         418    -7.26853    -7.18861   0.0122057
         419    -7.26751     -7.1888    0.012178
         420    -7.26613    -7.18898   0.0121504
         421    -7.26535    -7.18916   0.0121229
         422    -7.26518    -7.18934   0.0120955
         423     -7.2653    -7.18952   0.0120683
