#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
         447    -24.0037    -21.6966    0.047879
         448    -24.0174    -21.7018   0.0480516
         449    -24.0326    -21.7069   0.0482242
         450    -24.0479    -21.7121   0.0483968
         451    -24.0632    -21.7174   0.0485694
         452    -24.0786    -21.7226   0.0487421
         453    -24.0955    -21.7278   0.0489152
         454     -24.111    -21.7331   0.0490883
         455    -24.1296    -21.7383   0.0492621
         456    -24.1451    -21.7436    0.049436
         457    -24.1623    -21.7489   0.0496104
         458    -24.1779    -21.7542   0.0497847
         459    -24.1952    -21.7595   0.0499595
         460    -24.2109    -21.7649   0.0501343
         461    -24.2282    -21.7702   0.0503095
         462    -24.2441    -21.7756   0.0504848
         463      -24.26    -21.7809   0.0506601
         464    -24.2775    -21.7863   0.0508358
         465    -24.2934    -21.7917   0.0510116
         466     -24.311    -21.7971   0.0511878
         467    -24.3286    -21.8025   0.0513645
         468    -24.3448     -21.808   0.0515412
         469     -24.361    -21.8134   0.0517179
         470    -24.3787    -21.8189   0.0518951
         471    -24.3965    -21.8243   0.0520727
         472    -24.4144    -21.8298   0.0522507
         473    -24.4323    -21.8353   0.0524292
         474    -24.4472    -21.8408   0.0526073
         475    -24.4637    -21.8464   0.0527856
         476    -24.4803    -21.8519   0.0529639
         477    -24.4968    -21.8574   0.0531424
         478     -24.515     -21.863   0.0533212
         479    -24.5348    -21.8686   0.0535009
         480    -24.5515    -21.8742   0.0536806
         481    -24.5683    -21.8798   0.0538604
         482    -24.5852    -21.8854   0.0540403
         483     -24.602     -21.891   0.0542204
         484    -24.6205    -21.8966   0.0544008
         485    -24.6375    -21.9023   0.0545814
         486    -24.6546    -21.9079   0.0547621
         487    -24.6701    -21.9136   0.0549426
         488    -24.6888    -21.9193   0.0551235
         489    -24.7076     -21.925   0.0553049
         490    -24.7248    -21.9307   0.0554864
         491    -24.7421    -21.9364   0.0556681
         492    -24.7595    -21.9422   0.0558499
         493    -24.7769    -21.9479   0.0560318
         494    -24.7959    -21.9537   0.0562141
         495    -24.8134    -21.9595   0.0563967
         496    -24.8309    -21.9653   0.0565793
         497    -24.8501    -21.9711   0.0567624
         498    -24.8662    -21.9769   0.0569454
         499    -24.8839    -21.9827   0.0571285
         500    -24.9017    -21.9885   0.0573118
         501    -24.9195    -21.9944   0.0574952
         502    -24.9374    -22.0003   0.0576788
         503    -24.9553    -22.0061   0.0578625
         504    -24.9733     -22.012   0.0580464
         505    -24.9914    -22.0179   0.0582305
         506     -25.011    -22.0238   0.0584151
         507    -25.0291    -22.0298   0.0585999
         508    -25.0473    -22.0357   0.0587848
         509    -25.0686    -22.0417   0.0589705
         510    -25.0869    -22.0476   0.0591564
         511    -25.1068    -22.0536   0.0593428
         512    -25.1268    -22.0596   0.0595297
         513    -25.1483    -22.0656   0.0597173
         514    -25.1683    -22.0717   0.0599055
         515    -25.1869    -22.0777   0.0600938
         516    -25.2055    -22.0838   0.0602823
         517    -25.2258    -22.0899   0.0604712
         518    -25.2476     -22.096    0.060661
         519    -25.2664    -22.1021   0.0608509
         520    -25.2852    -22.1082    0.061041
         521    -25.3041    -22.1143   0.0612313
         522    -25.3246    -22.1205    0.061422
         523    -25.3467    -22.1266   0.0616136
         524    -25.3658    -22.1328   0.0618053
         525    -25.3864     -22.139   0.0619975
         526    -25.4071    -22.1452   0.0621902
         527    -25.4264    -22.1515    0.062383
         528    -25.4456    -22.1577   0.0625761
         529     -25.465     -22.164   0.0627693
         530    -25.4844    -22.1702   0.0629628
         531    -25.5054    -22.1765   0.0631567
         532    -25.5249    -22.1828   0.0633508
         533    -25.5429    -22.1891   0.0635449
         534    -25.5626    -22.1954   0.0637391
         535    -25.5822    -22.2018   0.0639336
         536     -25.602    -22.2081   0.0641283
         537    -25.6248    -22.2145   0.0643237
         538    -25.6493    -22.2208   0.0645202
         539    -25.6692    -22.2272   0.0647169
         540    -25.6892    -22.2336   0.0649138
         541    -25.7092    -22.2401    0.065111
         542    -25.7293    -22.2465   0.0653083
         543    -25.7494     -22.253   0.0655059
         544    -25.7696    -22.2594   0.0657037
         545    -25.7899    -22.2659   0.0659017
         546    -25.8102    -22.2724   0.0660999
         547    -25.8306    -22.2789   0.0662984
         548    -25.8525    -22.2854   0.0664973
         549     -25.873     -22.292   0.0666965
         550    -25.8936    -22.2985    0.066896
         551    -25.9142    -22.3051   0.0670956
         552    -25.9348    -22.3116   0.0672955
         553    -25.9571    -22.3182   0.0674959
         554    -25.9763    -22.3248   0.0676963
         555    -25.9972    -22.3315   0.0678969
         556    -26.0196    -22.3381   0.0680981
         557    -26.0421    -22.3447   0.0682998
         558    -26.0631    -22.3514   0.0685017
         559    -26.0842    -22.3581   0.0687038
         560    -26.1069    -22.3648   0.0689065
         561    -26.1281    -22.3715   0.0691094
         562    -26.1509    -22.3782   0.0693129
         563    -26.1707    -22.3849   0.0695163
         564    -26.1921    -22.3917     0.06972
         565    -26.2135    -22.3985    0.069924
         566     -26.235    -22.4052   0.0701283
         567    -26.2581     -22.412    0.070333
         568    -26.2828    -22.4188   0.0705386
         569    -26.3045    -22.4257   0.0707444
         570    -26.3263    -22.4325   0.0709505
         571    -26.3481    -22.4394   0.0711568
         572     -26.373    -22.4463    0.071364
         573     -26.395    -22.4531   0.0715714
         574      -26.42    -22.4601   0.0717796
         575    -26.4421     -22.467   0.0719881
         576    -26.4642    -22.4739   0.0721968
         577    -26.4895    -22.4809   0.0724063
         578    -26.5118    -22.4879   0.0726161
         579    -26.5341    -22.4948   0.0728262
         580    -26.5564    -22.5018   0.0730365
         581    -26.5804    -22.5089   0.0732474
         582    -26.6029    -22.5159   0.0734586
         583     -26.627     -22.523   0.0736703
         584    -26.6512      -22.53   0.0738825
         585    -26.6739    -22.5371    0.074095
         586    -26.6982    -22.5442    0.074308
         587     -26.721    -22.5513   0.0745213
         588    -26.7439    -22.5585   0.0747349
         589    -26.7684    -22.5656   0.0749491
         590    -26.7915    -22.5728   0.0751635
         591    -26.8145    -22.5799   0.0753782
         592    -26.8392    -22.5871   0.0755935
